TradeId,TradeDtTime,InstId,Qty,Price,Amount,Trader
T1,30/11/2017 23:11:01,IN1,100,12,1200,TRADER1
T2,21/02/2017 13:10:05,IN4,120,15,1800,TRADER2
T3,10/12/2017 12:08:20,IN3,150,10,1500,TRADER3
T4,25/12/2017 07:04:015,IN1,100,12,1200,TRADER1
T5,28/12/2017 05:14:20,IN1,200,12,2400,TRADER2
T6,01/01/2018 20:19:00,IN2,120,15,1800,TRADER1
T7,10/02/2018 08:20:00,IN1,200,12,2400,TRADER1
T8,25/02/2018 10:15:00,IN2,100,15,1500,TRADER1
T9,08/03/2018 02:30:00,IN3,100,10,1000,TRADER1
T10,15/03/2018 06:45:00,IN5,150,12,1800,TRADER1
